"b'JOI, humiliation tasks, and foot worship sessions available now on Skype or FaceTime \n\nfindom finD findomme femdom paypig paypiggy finsub cashcow humanatm sph kiksession skypesession footbitch footfetish walletdrain cei joi cbt pindick goddess domme exposure humiliation blackmail'",0,0,2021-10-03 23:59:05
b'We have two choice hold $CEI or sell $CEI . You decide!\n\n$PFE $ATUS $FB $ZOM $DMYI $AFRM $AEHR $SLB $NOK $XELA $VIPS $UNG $DRIP $SOXS $SOXL $GSAT $TZA $DATS $JPM $AUY $TNA $LVS $INTC $CVX $GM https://t.co/O0iQ5mWTre',0,0,2021-10-03 23:58:54
b'Anyone selling foot or lip pics DM me or comment below \n\nBuying nudes findom femdom fetish feet kink cei cbt joi tasks ukgoddess ukdomme dom humiliation paypig send',1,0,2021-10-03 23:51:15
b'RT @LuisNav14: Stocks I\xe2\x80\x99m either in or watching this week: \n\n$CEI - RSI reset\n\n$SOFI- dark pool prints/continuation\n\n$WISH - look at the we\xe2\x80\xa6',0,1,2021-10-03 23:49:44
b'Stocks I\xe2\x80\x99m either in or watching this week: \n\n$CEI - RSI reset\n\n$SOFI- dark pool prints/continuation\n\n$WISH - look at the weekly chart\n\n$EYEG - interesting stock if $2 holds. \n\n$SPY - strength over $436 probably sends us to $438-$440. Rejected at $436 so look for a retest.',6,1,2021-10-03 23:47:22
"b""I have a good feeling about the rest of the year for small caps while everything else falls or trades sideways.\nCan't wait for this week. Lets all get this money #daytrader #wallstreet \n$CEI $FAMI $NXTD $GROM $MKD $AEZS $ONTX https://t.co/j66vg3EUmh""",1,0,2021-10-03 23:42:43
"b'$CEI- Hourly\n\nGreat week, now in unexplored ranges since last split\n\nHas TL it pulled back to, IF that brokedown I like 2.64-2.8 as an add zone can risk 2.5 or daily at 2.37. Below that is a small zone 2.2-2.29. DR levels at 4 &amp; 4.85 it may reject, small gap over 3.5 https://t.co/Rp2IifMsjj'",4,0,2021-10-03 23:37:26
"b'With that being said, always send your tribute. Or be banished. \n\n\xe2\x80\xa2 findom finslave finsub finbrat sph humiliation ballbusting paypiggy paypig cashslave humanatm cuck beta sissy joi cei cbt ass worship https://t.co/0PfxUgWWlH'",4,0,2021-10-03 23:31:53
"b'""I want to be mindfucked""\n\n""So, you\'re saying you like cock?""\n\n""No I-""\n\n""Here\'s twenty videos of cock hypno and sixty sissy hypnos""\n\n-sigh-\n\nReally, why is this 80% of this fetish? Is everyone here closet gay? The second CEI or ass pounding is mentioned I lose all interest.'",1,0,2021-10-03 23:29:48
"b'RT @tradingloons: Is your trading style is to purchase a stock with upward momentum, ride that momentum for several days, weeks or months,\xe2\x80\xa6'",0,1,2021-10-03 23:28:36
b'RT @DavidScottAdams: $CEI $PROG $CAN $CLOV $AAL = These are some of our teams favorite trades for the day! We are bullish and expecting som\xe2\x80\xa6',0,2,2021-10-03 23:27:14
b'JOI and humiliation sessions on Skype or FaceTime available now\n\nfindom finD findomme femdom paypig paypiggy finsub cashcow humanatm sph kiksession skypesession footbitch footfetish walletdrain cei joi cbt pindick goddess domme humiliation blackmail tribute drain simp goon',0,0,2021-10-03 23:25:15
"b'Is your trading style is to purchase a stock with upward momentum, ride that momentum for several days, weeks or months, and then move onto the next momentum-moving stock? \n\nIf so, we have something for you!\n\n$UAMY $ISBC $SLI $SBS $RIDE $CEI $ATIF $ZOM $HBM $SB $TTOO $BRFS $NAT https://t.co/4Mp3OrBAF2'",2,1,2021-10-03 23:19:54
"b'Tell me how much you adore me with PayPal \xf0\x9f\x92\x95 I only wanna see ""sent, goddess"" in my DMs or Kik\n\nFindom finsub cashslave cei joi paypig BBW Goddess $end $erve $ubmit'",0,0,2021-10-03 23:15:05
b'@DonnieStocks Does this mean you\xe2\x80\x99re not looking at CEI unless it hits 4 or when it does?',1,0,2021-10-03 23:07:26
b'Any UK goddesses selling used items or tasks? \n\nFindom femdom cei joi sissy training cbt sph humiliation exposure paypig send cashapp send',3,0,2021-10-03 22:56:54
b'Send $10 and I\xe2\x80\x99ll write out a detailed dick rating for you. Honest or cruel.\n\nfindom paypig findomme cashmistress efdp moneyslave dick rate sph cruel degrade findombrat cei joi femdom goddess bdsm cock rate cashpig fincuck',1,0,2021-10-03 22:55:16
b'JOI and humiliation sessions on Skype or FaceTime available now\n\nfindom finD findomme femdom paypig paypiggy finsub cashcow humanatm sph kiksession skypesession footbitch footfetish walletdrain cei joi cbt pindick goddess domme humiliation blackmail tribute drain simp goon',2,0,2021-10-03 22:54:41
"b""$CEI Y\xe2\x80\x99all go to google and type in Carbon Capture or Chamber Energy Inc. and look at the news. This stock is a shaggin' wagon #MONEY https://t.co/byNOHCoCqf""",2,0,2021-10-03 22:51:30
b'RT @lex_godexx: JOI and humiliation sessions on Skype or FaceTime available now\n\nfindom finD findomme femdom paypig paypiggy finsub cashcow\xe2\x80\xa6',0,1,2021-10-03 22:50:25
b'JOI and humiliation sessions on Skype or FaceTime available now\n\nfindom finD findomme femdom paypig paypiggy finsub cashcow humanatm sph kiksession skypesession footbitch footfetish walletdrain cei joi cbt pindick goddess domme humiliation blackmail tribute drain simp goon.',0,1,2021-10-03 22:49:18
b'@ShinobiSignals What\xe2\x80\x99s the call tmr on CEI? Calls or puts',1,0,2021-10-03 22:45:33
b'Any UK Goddess or Dom want a sub to control and give tasks\n\nVirtually NO LIMITS \n\nDM me or comment below \n\nFindom femdom humiliation cbt joi cei sissy training sissyfication paypig send cashapp feet foot spit fetish used items makeup panties messy sph',4,0,2021-10-03 22:41:51
b'@jbsteelers36 Tomorrow $CEI or $dats ?for 10k Investment',0,0,2021-10-03 22:39:54
b'If i don\xe2\x80\x99t get a slow drain or full on rinse over Skype tonight I\xe2\x80\x99m gonna be raising hell \xf0\x9f\x94\xa5 \n\n\xe2\x80\xa2 findom sissification joi cbt cei femdom paypig sph humiliation bodyworship assworship sessions \xe2\x80\xa2 https://t.co/O8aoIuuZrK',35,5,2021-10-03 22:39:03
b'$TSLA $800 $FSR $GM \xf0\x9f\x93\x88\n$AMC Giant bull flag\xf0\x9f\x9a\x80\n$BB $WISH $GME \xf0\x9f\xa6\x8d\n$BA $PINS C $230/$53 Break\xf0\x9f\x93\x8a\n$ROKU Falling wedge break $SQ \xf0\x9f\x93\xba\n$AFRM $130 above $121.30\xf0\x9f\x90\x82\n$PLUG / $NNDM over $26/6 rip\xe2\x9a\xa1\n$SPY $440 then \xf0\x9f\x93\x89 or lose $426\xf0\x9f\x93\x89\n\nMOMO\xf0\x9f\x9a\xa8\n$ENG $SDC $ATER $PLBY $OEG\n$BMRA $CEI $EYEG $ADVM $PROG',3,0,2021-10-03 22:33:36
b'RT @FootBab1: Amazon sluts approach bc I want my giftcards to go up and up and up \xf0\x9f\x98\x8c I\xe2\x80\x99m currently on \xc2\xa350 but I want 100 \n\nNicolebaby198@yah\xe2\x80\xa6',0,1,2021-10-03 22:28:01
b'Video reply session? \nSkype or FaceTime? \nText sesh? \nCustom pics or vids? \n&amp; muchhh more \xf0\x9f\xa5\xb0\xf0\x9f\xa5\xb0\xf0\x9f\xa5\xb0\n\nDm to get started \n\nFindom femdom onlyfans paypig findomme finsub cuck brat domme joi sph cbt cei camgirl drain rinse raceplay sissy beta cashcow ballbusting worship loser',1,0,2021-10-03 22:17:21
b'@gurgavin what are your thoughts on $CEI? Is it a legit play/company upside or just retail push?',1,0,2021-10-03 22:15:01
b'Amazon sluts approach bc I want my giftcards to go up and up and up \xf0\x9f\x98\x8c I\xe2\x80\x99m currently on \xc2\xa350 but I want 100 \n\nNicolebaby198@yahoo.com \n\nOr send codes x \n\nFindom Finsub FinD Ukdomme Findomuk goddess ukgoddess sph joi cei cbt humiliation sissy cuck degradation nudes gcsub subfunded https://t.co/h1Iw0cKear',7,1,2021-10-03 22:12:13
"b'Still online and available for kik and Skype sessions now.\n\nKik - princessmimi43\n\nSkype - Dm me\n\nTributes via Amazon, cashapp or crypto.\n\nFindom #finD Asian Worship Camsession Joi cei sph Feet Footworship Kik Kikme Skype PayPig Finsub cuck https://t.co/uIsWk2XGB0'",4,2,2021-10-03 22:06:41
b'RT @Biotech_SD: $CEI $ENG anyone else counting the hours for Monday ? Or am I the only loser \xf0\x9f\x98\x82?',0,15,2021-10-03 22:00:35
